,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
7553,Guernsey,GGY,2021-01-24,6151,0,522,,0,9.95,9.17,0.78,0.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
7554,Guernsey,GGY,2021-01-25,7277,6572,705,,604,10.861194029850745,9.808955223880597,1.0522388059701493,9008.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
7555,Guernsey,GGY,2021-01-26,7881,6993,888,,604,11.76268656716418,10.43731343283582,1.3253731343283581,9008.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
7556,Guernsey,GGY,2021-01-27,8486,7414,1072,,604,12.665671641791047,11.065671641791045,1.6,9008.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
7557,Guernsey,GGY,2021-01-28,9090,7835,1255,,604,13.567164179104477,11.694029850746269,1.873134328358209,9008.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
7558,Guernsey,GGY,2021-01-29,9695,8256,1439,,604,14.470149253731343,12.322388059701494,2.1477611940298504,9008.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
7559,Guernsey,GGY,2021-01-30,10299,8677,1622,,604,15.371641791044777,12.950746268656715,2.4208955223880597,9008.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
7560,Guernsey,GGY,2021-01-31,10904,9098,1806,,604,16.274626865671642,13.579104477611939,2.6955223880597017,9008.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
7561,Guernsey,GGY,2021-02-01,11508,9519,1989,,604,17.176119402985073,14.207462686567165,2.9686567164179105,9008.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
7562,Guernsey,GGY,2021-02-02,12112,9940,2172,,604,18.077611940298507,14.835820895522389,3.24179104477612,9008.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
